ὁ	ὁ, ἡ, τό	the 
καί	καί	and, even, also
αὐτός	αὐτός, -ή, -ό	himself, herself, itself, same; he, she, it
σύ	σύ	you
δέ	δέ	but, and
ἐν	ἐν	in (dat)
ἐγώ	ἐγώ	I
εἰμί	εἰμί	I am
λέγω	λέγω	to say, speak
εἰς	εἰς	into (acc)
οὐ	οὐ	not, no
ὅς	ὅς, ἥ, ὅ	who, which
οὗτος	οὗτος, αὕτη, τοῦτο	this; he, she, it
θεός	θεός, -οῦ, ὁ	a god, God
ὅτι	ὅτι	that, because, since
πᾶς	πᾶς, πᾶσα, πᾶν	all, every, all things
μή	μή	not, lest
γάρ	γάρ	for
ἰησοῦς	Ἰησοῦς	Jesus, Joshua
ἐκ	ἐκ, ἐξ	out of, from (gen)
ἐπί	ἐπί	over, on, at the time of (gen); on the basis of, at (dat); on, to, against (acc)
κύριος	κύριος, -ου, ὁ	a lord, the Lord
ἔχω	ἔχω	to have, hold
πρός	πρός	to, towards, with (acc)
γίνομαι	γίνομαι	to become, be
διά	διά	through (gen); on account of (acc)
ἵνα	ἵνα	in order that, that
ἀπό	ἀπό	from (gen)
ἀλλά	ἀλλά	but, yet, except
ἔρχομαι	ἔρχομαι	to come, go
τίς	τίς, τί	who? which? what? why?
ποιέω	ποιέω	to do, make
ἄνθρωπος	ἄνθρωπος, -ου, ὁ	a man
τὶς	τὶς, τὶ	someone, something, a certain one, a certain thing, anyone, anything 
χριστός	Χριστός, -οῦ, ὁ	Christ, Messiah, Anointed One
ὡς	ὡς	as, that, like, how, about, now
εἰ	εἰ	if
οὖν	οὖν	then, accordingly
κατά	κατά	down from, against (gen); according to, during, throughout (acc)
μετά	μετά	with (gen); after (acc)
ὁράω	ὁράω	to see
ἀκούω	ἀκούω	to hear
πολύς	πολύς, πολλή, πολύ	much, many (plural)
δίδωμι	δίδωμι	to give
πατήρ	πατήρ, πατρός, ὁ	father
ἡμέρα	ἡμέρα, -ας, ἡ	a day
πνεῦμα	πνεῦμα, -τος, τό	a spirit, the Spirit
υἱός	υἱός, -οῦ, ὁ	a son
εἷς	εἷς, μία, ἕν	one
ἀδελφός	ἀδελφός, -οῦ, ὁ	brother
ἤ	ἤ	or
ἐάν	ἐάν	if
περί	περί	concerning, about (gen); around (acc)
λόγος	λόγος, -ου, ὁ	a word, the Word
οἶδα	οἶδα	to know
ἑαυτοῦ	ἑαυτοῦ, -ῆς, -οῦ	of himself
λαλέω	λαλέω	to speak
οὐρανός	οὐρανός, -οῦ, ὁ	heaven
μαθητής	μαθητής, -οῦ, ὁ	a disciple
λαμβάνω	λαμβάνω	to take, receive
γῆ	γῆ, γῆς, ἡ	the earth, land
πιστεύω	πιστεύω	to have faith (in), believe
μέγας	μέγας, μεγάλη, μέγα	large, great
ἐκεῖνος	ἐκεῖνος, -η, -ο	that
πίστις	πίστις, -εως, ἡ	faith, belief, trust
γινώσκω	γινώσκω	to come to know, learn, know, realize
ὄνομα	ὄνομα, -τος, τό	a name
οὐδείς	οὐδείς, οὐδεμία, οὐδέν	no one, none, nothing, no
ἅγιος	ἅγιος, -α, -ον	holy; saints (plural noun)
ἀποκρίνομαι	ἀποκρίνομαι	to answer
ὑπό	ὑπό	by (gen); under (acc)
ἐξέρχομαι	ἐξέρχομαι	to go out, come out
ἀνήρ	ἀνήρ, ἀνδρός, ὁ	a man, husband
γυνή	γυνή, -αικός, ἡ	a woman, wife
τέ	τέ	and (enclitic weak connective particle)
δύναμαι	δύναμαι	to be powerful, able
θέλω	θέλω	to will, wish, desire
οὕτω	οὕτω, οὕτως	thus
ἰδού	ἰδού	See! Behold! Look! Lo!
ἰουδαῖος	Ἰουδαῖος, -α, -ον	Jewish, a Jew, Judea
εἰσέρχομαι	εἰσέρχομαι	to go or come in or into, enter
νόμος	νόμος, -ου, ὁ	a law, the Law
παρά	παρά	from (gen); beside, in the presence of (dat); alongside of (acc)
γράφω	γράφω	to write
κόσμος	κόσμος, -ου, ὁ	the world
καθώς	καθώς	as, just as, even as
μέν	μέν	on the one hand, indeed (postpositive particle often untranslated)
χείρ	χείρ, χειρός, ἡ	a hand
εὑρίσκω	εὑρίσκω	to find
ἄγγελος	ἄγγελος, -ου, ὁ	an angel
ὄχλος	ὄχλος, -ου, ὁ	a crowd, multitude
ἁμαρτία	ἁμαρτία, -ας, ἡ	a sin, sin
ἔργον	ἔργον, -ου, τό	work, deed
ἄν	ἄν	untranslatable particle - makes a statement contingent
δόξα	δόξα, -ης, ἡ	glory
πόλις	πόλις, -εως, ἡ	a city
